inspection_id,product_id,inspection_date,result,failure_reason,notes
122,62,2025-07-24,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
123,62,2026-02-09,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
124,63,2026-01-02,fail,Missing certification,Required certification documentation missing from product packaging and retail records.
125,64,2026-04-23,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
126,64,2025-10-15,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
127,64,2026-04-13,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
128,65,2025-11-17,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
129,65,2025-06-18,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
130,65,2025-12-21,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
131,66,2026-04-23,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
132,67,2025-11-30,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
133,68,2025-12-09,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
134,68,2025-06-24,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
135,68,2025-06-14,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
136,69,2025-08-18,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
137,70,2025-05-14,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
138,70,2025-06-19,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
139,70,2025-11-14,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
140,71,2025-07-11,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
141,72,2025-12-09,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
142,72,2025-08-15,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
143,73,2025-12-30,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
144,73,2025-11-21,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
145,74,2026-03-02,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
146,75,2025-07-22,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
147,75,2025-09-29,fail,Damaged packaging,"Packaging damage observed during inspection, creating contamination and handling risk."
148,75,2025-06-08,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
149,76,2025-11-26,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
150,76,2025-12-14,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
151,77,2025-05-23,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
152,77,2025-12-01,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
153,78,2025-11-15,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
154,78,2026-01-26,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
155,78,2025-10-04,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
156,79,2025-05-27,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
157,79,2025-05-30,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
158,79,2026-04-30,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
159,80,2025-11-13,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
160,81,2025-08-08,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
161,81,2026-02-02,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
162,82,2025-05-22,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
163,82,2025-05-25,fail,Damaged packaging,"Packaging damage observed during inspection, creating contamination and handling risk."
164,83,2025-09-19,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
165,84,2026-03-27,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
166,85,2025-12-09,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
167,86,2025-12-09,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
168,87,2025-09-06,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
169,87,2025-06-18,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
170,87,2026-04-04,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
171,88,2025-12-19,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
172,88,2026-04-25,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
173,89,2025-06-16,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
174,89,2026-03-06,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
175,89,2026-04-23,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
176,90,2025-05-27,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
177,90,2025-11-03,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
178,91,2025-10-28,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
179,91,2025-10-26,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
180,91,2025-05-20,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
181,92,2025-10-22,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
182,92,2025-12-17,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
183,92,2025-06-27,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
184,93,2025-07-07,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
185,94,2025-10-29,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
186,94,2025-05-22,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
187,94,2026-04-23,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
188,95,2026-01-02,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
189,95,2026-03-04,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
190,96,2025-05-22,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
191,96,2026-04-12,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
192,97,2026-04-25,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
193,97,2025-12-29,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
194,98,2025-10-20,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
195,98,2025-05-21,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
196,99,2025-11-28,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
197,99,2025-07-25,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
198,99,2025-07-10,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
199,100,2026-03-03,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
200,101,2025-08-20,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
201,102,2025-10-25,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
202,102,2025-10-02,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
203,103,2026-03-12,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
204,104,2026-02-11,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
205,105,2026-04-03,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
206,106,2025-07-30,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
207,106,2025-08-12,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
208,107,2025-10-11,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
209,107,2025-10-14,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
210,108,2025-06-17,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
211,108,2025-10-23,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
212,108,2025-09-05,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
213,109,2025-08-02,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
214,110,2025-10-02,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
215,110,2026-04-08,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
216,111,2025-08-10,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
217,111,2025-09-14,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
218,112,2025-12-06,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
219,112,2026-01-25,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
220,113,2025-10-03,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
221,113,2025-05-20,fail,Damaged packaging,"Packaging damage observed during inspection, creating contamination and handling risk."
222,113,2025-11-10,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
223,114,2025-11-09,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
224,114,2025-10-03,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
225,114,2026-04-09,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
226,115,2026-04-19,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
227,115,2026-02-27,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
228,116,2026-02-02,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
229,116,2025-07-26,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
230,116,2025-11-23,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
231,117,2025-08-06,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
232,118,2026-04-13,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
233,118,2026-04-22,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
234,119,2025-10-30,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
235,119,2025-05-18,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
236,120,2025-09-28,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
237,121,2025-05-07,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
238,122,2025-08-25,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
239,123,2026-01-31,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
240,123,2025-11-09,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
241,124,2025-12-03,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
242,124,2025-10-29,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
243,125,2025-06-30,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
244,126,2026-04-24,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
245,126,2025-06-14,fail,Missing certification,Required certification documentation missing from product packaging and retail records.
246,127,2025-08-20,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
247,127,2026-04-09,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
248,128,2026-01-25,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
249,128,2026-02-26,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
250,129,2025-07-18,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
251,129,2025-10-16,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
252,129,2025-06-10,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
253,130,2025-06-10,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
254,130,2026-01-06,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
255,131,2025-09-26,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
256,132,2025-07-18,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
257,132,2025-06-05,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
258,133,2025-11-07,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
259,133,2025-08-30,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
260,133,2025-05-26,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
261,134,2025-05-30,fail,Missing certification,Required certification documentation missing from product packaging and retail records.
262,135,2025-07-29,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
263,136,2026-03-26,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
264,136,2025-06-13,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
265,137,2026-03-31,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
266,137,2025-06-07,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
267,137,2025-12-11,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
268,138,2025-05-13,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
269,138,2025-07-23,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
270,138,2025-07-01,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
271,139,2025-07-15,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
272,139,2026-01-09,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
273,139,2025-08-08,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
274,140,2025-10-30,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
275,141,2025-05-12,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
276,142,2025-09-14,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
277,142,2025-12-28,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
278,142,2025-09-09,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
279,143,2026-04-29,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
280,143,2026-03-02,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
281,144,2025-06-15,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
282,145,2025-07-15,fail,Damaged packaging,"Packaging damage observed during inspection, creating contamination and handling risk."
283,146,2025-12-30,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
284,146,2025-08-25,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
285,147,2025-07-07,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
286,147,2025-12-04,fail,Leakage detected,"Product leakage identified during inspection, affecting safety and packaging integrity."
287,148,2026-04-13,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
288,148,2026-03-23,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
289,148,2026-04-20,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
290,149,2026-03-27,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
291,149,2025-10-01,fail,Missing certification,Required certification documentation missing from product packaging and retail records.
292,150,2026-05-05,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
293,151,2025-09-05,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
294,151,2025-12-13,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
295,152,2025-10-20,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
296,153,2025-07-02,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
297,153,2025-12-12,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
298,154,2025-08-31,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
299,154,2025-08-17,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
300,155,2025-08-25,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
301,156,2025-05-07,fail,Barcode unreadable,"Barcode could not be scanned clearly, affecting inventory and traceability compliance."
302,156,2025-05-21,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
303,157,2025-05-18,fail,Damaged packaging,"Packaging damage observed during inspection, creating contamination and handling risk."
304,157,2025-11-24,pass,,"Inspection completed successfully with no visible contamination, leakage, or compliance concerns."
305,158,2025-10-26,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
306,158,2025-07-05,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
307,158,2026-02-25,pass,,Product packaging intact with expiry labeling and consumer information clearly visible.
308,159,2025-12-09,pass,,"Labeling complete, packaging sealed, barcode verified, and product suitable for retail display."
309,159,2025-10-28,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
310,159,2025-11-10,pass,,"Retail inspection passed with compliant labeling, batch details, and safe packaging condition."
311,160,2025-05-10,pass,,Product verified for sale with complete manufacturer information and undamaged packaging.
